;ANUARIO DE ESTADÍSTICA FORESTAL 2005;;;;;;;;;;;;
Superficie por uso, altitud y comunidad autónoma;;;;;;;;;;;;;
;;;;;;;;;;;;;
ANDALUCÍA;;;;;;;;;;;;;
Forestal desarbolado;11.618,58;27.203,07;45.010,52;55.259,61;49.762,53;38.024,07;27.051,86;22.353,94;22.838,64;299.122,82;;;
No forestal;120.924,64;85.903,01;62.497,16;52.115,56;30.170,35;17.419,97;9.448,15;7.060,26;7.566,28;393.105,38;;;
TOTAL;198.501,34;201.169,25;171.878,44;158.679,88;119.592,76;85.068,04;55.828,67;37.967,19;31.671,89;1.060.357,46;;;
;;;;;;;;;;;;;
REGIÓN DE MURCIA;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;>=1.600;Total;;;
Forestal arbolado;1.061,03;5.820,62;11.299,51;21.252,80;25.473,25;18.079,67;11.551,77;5.625,75;2.165,68;102.330,08;;;
Forestal arbolado ralo;7.364,31;28.266,37;44.726,33;36.236,90;24.954,18;13.400,46;9.769,65;2.080,77;149,19;166.948,16;;;
Forestal desarbolado;40.252,71;70.787,96;59.844,23;39.890,71;13.455,09;5.891,65;4.173,88;1.800,28;406,79;236.503,30;;;
No forestal;201.011,95;146.239,38;113.605,13;95.961,66;39.364,88;21.489,93;7.314,39;628,75;0,00;625.616,07;;;
TOTAL;249.690,00;251.114,33;229.475,20;193.342,07;103.247,40;58.861,71;32.809,69;10.135,55;2.721,66;1.131.397,61;;;
;;;;;;;;;;;;;
Fuente:;;;;;;;;;;;;;
IFN2;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
